"DATE","TIME PERIOD","(LFSI.M.I9.S.UNEHRT.TOTAL0.15_74.T)"
"2013-01-31","2013Jan","12.214256"
"2013-02-28","2013Feb","12.215915"
"2013-03-31","2013Mar","12.224588"
"2013-04-30","2013Apr","12.238054"
"2013-05-31","2013May","12.212659"
"2013-06-30","2013Jun","12.160008"
"2013-07-31","2013Jul","12.135136"
"2013-08-31","2013Aug","12.107912"
"2013-09-30","2013Sep","12.144349"
"2013-10-31","2013Oct","12.075920"
"2013-11-30","2013Nov","12.059203"
"2013-12-31","2013Dec","12.000858"
"2014-01-31","2014Jan","12.047439"
"2014-02-28","2014Feb","12.011889"
"2014-03-31","2014Mar","11.930341"
"2014-04-30","2014Apr","11.814500"
"2014-05-31","2014May","11.755264"
"2014-06-30","2014Jun","11.613303"
"2014-07-31","2014Jul","11.665556"
"2014-08-31","2014Aug","11.560274"
"2014-09-30","2014Sep","11.608642"
"2014-10-31","2014Oct","11.625577"
"2014-11-30","2014Nov","11.640696"
"2014-12-31","2014Dec","11.475294"
"2015-01-31","2015Jan","11.381826"
"2015-02-28","2015Feb","11.335524"
"2015-03-31","2015Mar","11.310101"
"2015-04-30","2015Apr","11.193059"
"2015-05-31","2015May","11.140368"
"2015-06-30","2015Jun","11.072845"
"2015-07-31","2015Jul","10.851900"
"2015-08-31","2015Aug","10.759865"
"2015-09-30","2015Sep","10.714256"
"2015-10-31","2015Oct","10.722814"
"2015-11-30","2015Nov","10.600961"
"2015-12-31","2015Dec","10.565878"
"2016-01-31","2016Jan","10.475608"
"2016-02-29","2016Feb","10.445704"
"2016-03-31","2016Mar","10.348733"
"2016-04-30","2016Apr","10.320293"
"2016-05-31","2016May","10.220050"
"2016-06-30","2016Jun","10.175909"
"2016-07-31","2016Jul","10.034922"
"2016-08-31","2016Aug","9.990598"
"2016-09-30","2016Sep","9.931607"
"2016-10-31","2016Oct","9.853741"
"2016-11-30","2016Nov","9.871230"
"2016-12-31","2016Dec","9.741433"
"2017-01-31","2017Jan","9.642403"
"2017-02-28","2017Feb","9.544186"
"2017-03-31","2017Mar","9.473028"
"2017-04-30","2017Apr","9.303296"
"2017-05-31","2017May","9.274263"
"2017-06-30","2017Jun","9.123809"
"2017-07-31","2017Jul","9.093482"
"2017-08-31","2017Aug","9.017621"
"2017-09-30","2017Sep","8.923674"
"2017-10-31","2017Oct","8.817175"
"2017-11-30","2017Nov","8.746255"
"2017-12-31","2017Dec","8.714147"
"2018-01-31","2018Jan","8.685853"
"2018-02-28","2018Feb","8.595558"
"2018-03-31","2018Mar","8.536105"
"2018-04-30","2018Apr","8.445822"
"2018-05-31","2018May","8.311932"
"2018-06-30","2018Jun","8.243913"
"2018-07-31","2018Jul","8.107987"
"2018-08-31","2018Aug","8.042920"
"2018-09-30","2018Sep","8.000134"
"2018-10-31","2018Oct","8.017732"
"2018-11-30","2018Nov","7.943174"
"2018-12-31","2018Dec","7.865290"
"2019-01-31","2019Jan","7.852820"
"2019-02-28","2019Feb","7.823015"
"2019-03-31","2019Mar","7.736277"
"2019-04-30","2019Apr","7.729994"
"2019-05-31","2019May","7.640761"
"2019-06-30","2019Jun","7.547993"
"2019-07-31","2019Jul","7.521646"
"2019-08-31","2019Aug","7.451379"
"2019-09-30","2019Sep","7.445276"
"2019-10-31","2019Oct","7.420928"
"2019-11-30","2019Nov","7.470948"
"2019-12-31","2019Dec","7.475548"
"2020-01-31","2020Jan","7.480107"
"2020-02-29","2020Feb","7.326265"
"2020-03-31","2020Mar","7.199114"
"2020-04-30","2020Apr","7.405629"
"2020-05-31","2020May","7.646386"
"2020-06-30","2020Jun","8.101427"
"2020-07-31","2020Jul","8.481468"
"2020-08-31","2020Aug","8.605380"
"2020-09-30","2020Sep","8.557501"
"2020-10-31","2020Oct","8.360182"
"2020-11-30","2020Nov","8.188028"
"2020-12-31","2020Dec","8.195382"
"2021-01-31","2021Jan","8.235830"
"2021-02-28","2021Feb","8.223876"
"2021-03-31","2021Mar","8.194237"
"2021-04-30","2021Apr","8.255980"
"2021-05-31","2021May","8.086108"
"2021-06-30","2021Jun","7.881453"
"2021-07-31","2021Jul","7.663380"
"2021-08-31","2021Aug","7.527181"
"2021-09-30","2021Sep","7.358157"
"2021-10-31","2021Oct","7.219904"
"2021-11-30","2021Nov","7.094962"
"2021-12-31","2021Dec","6.994756"
"2022-01-31","2022Jan","6.900534"
"2022-02-28","2022Feb","6.820269"
"2022-03-31","2022Mar","6.799222"
"2022-04-30","2022Apr","6.745300"
"2022-05-31","2022May","6.719089"
"2022-06-30","2022Jun","6.728196"
"2022-07-31","2022Jul","6.666846"
"2022-08-31","2022Aug","6.706604"
"2022-09-30","2022Sep","6.681151"
"2022-10-31","2022Oct","6.630010"
"2022-11-30","2022Nov","6.643240"
"2022-12-31","2022Dec","6.664783"
"2023-01-31","2023Jan","6.643789"
"2023-02-28","2023Feb","6.587223"
"2023-03-31","2023Mar","6.534432"
"2023-04-30","2023Apr","6.503422"
"2023-05-31","2023May","6.487671"
"2023-06-30","2023Jun","6.477103"
"2023-07-31","2023Jul","6.540035"
"2023-08-31","2023Aug","6.505544"
"2023-09-30","2023Sep","6.540866"
"2023-10-31","2023Oct","6.545737"
"2023-11-30","2023Nov","6.509313"
"2023-12-31","2023Dec","6.464422"
"2024-01-31","2024Jan","6.435679"
